model,noise,iteration,lamb_value,beta_value,error_lamb,error_beta
EIT,0,1,0.20005636,3.1285954,0.000281781,0.001116393
EIT,0,2,0.19993973,3.1128197,0.000301376,0.006153181
EIT,0,3,0.2000648,3.1321807,0.000323951,2.83E-05
EIT,0,4,0.19997613,3.1273234,0.000119358,0.0015225
EIT,0,5,0.19990578,3.1301022,0.0004711,0.000635307
EIT,0,6,0.20014854,3.1254692,0.000742674,0.002114495
EIT,0,7,0.19991307,-3.1300726,0.000434667,1.999355283
EIT,0,8,0.19992837,-3.1300366,0.000358149,1.999343865
EIT,0,9,0.1998862,3.130783,0.000569001,0.000417905
EIT,0,10,0.20010704,3.1309805,0.000535175,0.000354877
EIT,0.01,1,0.20024818,3.1212435,0.001240894,0.003463667
EIT,0.01,2,0.20011221,3.1208425,0.000561029,0.003591702
EIT,0.01,3,0.20030864,3.1259537,0.001543164,0.001959816
EIT,0.01,4,0.2002637,3.1213708,0.001318455,0.003423018
EIT,0.01,5,0.20027284,3.1276512,0.001364201,0.001417833
EIT,0.01,6,0.20054726,3.1228793,0.0027363,0.002941399
EIT,0.01,7,0.20023069,-3.127655,0.001153424,1.998583414
EIT,0.01,8,0.20004196,-3.128187,0.000209808,1.998753164
EIT,0.01,9,0.20032007,3.1275783,0.00160031,0.001441126
EIT,0.01,10,0.2002303,3.1348238,0.001151487,0.000872197
EIT,0.05,1,0.19780836,3.113118,0.010958239,0.006057953
EIT,0.05,2,0.19780505,-3.1098313,0.01097478,1.992892746
EIT,0.05,3,0.198005,3.1155932,0.009974986,0.005267663
EIT,0.05,4,0.19757591,3.1186016,0.012120456,0.004307166
EIT,0.05,5,0.19757448,3.1224709,0.012127608,0.003071795
EIT,0.05,6,0.19792488,-3.1227582,0.010375604,1.997020037
EIT,0.05,7,0.19778939,-3.1183434,0.011053085,1.995610425
EIT,0.05,8,0.19744527,-3.1218777,0.012773648,1.996738845
EIT,0.05,9,0.19774531,3.12667,0.011273474,0.001731148
EIT,0.05,10,0.19755909,3.1225169,0.012204573,0.003057103
EIT,0.1,1,0.1992167,3.1786213,0.003916547,0.01485566
EIT,0.1,2,0.19913663,3.1743538,0.004316866,0.013493167
EIT,0.1,3,0.19909056,3.1683738,0.004547238,0.011583895
EIT,0.1,4,0.19977087,-3.1732726,0.001145676,2.013147987
EIT,0.1,5,0.19993451,3.1738698,0.000327453,0.013338641
EIT,0.1,6,0.19999194,-3.1807957,4.03E-05,2.015549915
EIT,0.1,7,0.19899417,-3.1781538,0.005029142,2.01470634
EIT,0.1,8,0.19925828,-3.1770136,0.003708601,2.014342481
EIT,0.1,9,0.20098767,-3.182659,0.004938319,2.016144726
EIT,0.1,10,0.19942181,-3.1636696,0.002890974,2.010081977
