model,noise,iteration,lamb_value,beta_value,error_lamb,error_beta
NM,0,1,0.19999743,3.1320925,1.29E-05,1.52E-07
NM,0,2,0.20013064,3.1320271,0.000653192,2.07E-05
NM,0,3,0.20009454,3.1320906,0.000472665,4.57E-07
NM,0,4,0.20005815,3.1320784,0.000290722,4.34E-06
NM,0,5,0.19998528,3.1320941,7.36E-05,6.85E-07
NM,0,6,0.20000201,3.1320877,1.01E-05,1.37E-06
NM,0,7,0.20001544,-3.13203,7.72E-05,1.999980238
NM,0,8,0.19999123,-3.1320288,4.39E-05,1.999979934
NM,0,9,0.20005076,3.1320775,0.000253767,4.64E-06
NM,0,10,0.20004083,3.1320944,0.000204146,7.61E-07
NM,0.01,1,0.2000086,3.1321409,4.30E-05,1.56E-05
NM,0.01,2,0.20028548,3.1321619,0.001427382,2.23E-05
NM,0.01,3,0.2003639,3.132147,0.001819506,1.76E-05
NM,0.01,4,0.2002356,3.132153,0.001178011,1.95E-05
NM,0.01,5,0.20019008,3.13215,0.000950396,1.85E-05
NM,0.01,6,0.20032352,3.1321568,0.001617596,2.07E-05
NM,0.01,7,0.20021705,-3.1321507,0.001085252,2.000018755
NM,0.01,8,0.19969721,-3.1322088,0.001513958,2.000037329
NM,0.01,9,0.20029728,3.1321602,0.001486391,2.18E-05
NM,0.01,10,0.2002726,3.132185,0.001363009,2.97E-05
NM,0.05,1,0.19934696,3.1324635,0.003265217,0.000118597
NM,0.05,2,0.19936901,-3.1324036,0.003154948,2.000099596
NM,0.05,3,0.19938289,3.1324282,0.003085583,0.000107331
NM,0.05,4,0.19937138,3.132519,0.003143102,0.000136333
NM,0.05,5,0.19945525,3.1324613,0.002723783,0.000117912
NM,0.05,6,0.19917718,-3.1324272,0.004114136,2.000107056
NM,0.05,7,0.19951297,-3.132458,0.002435148,2.000116952
NM,0.05,8,0.19941232,-3.1324325,0.002938434,2.000108731
NM,0.05,9,0.19930404,-3.132485,0.003479794,2.000125477
NM,0.05,10,0.19921947,3.1324735,0.003902689,0.000121794
NM,0.1,1,0.19893171,-3.1281343,0.00534147,1.998736418
NM,0.1,2,0.19893052,-3.1281548,0.005347431,1.998742964
NM,0.1,3,0.19894576,3.1281714,0.005271211,0.001251737
NM,0.1,4,0.19876963,-3.1281705,0.00615187,1.998747988
NM,0.1,5,0.19886804,3.1281612,0.005659834,0.00125501
NM,0.1,6,0.19887668,-3.1281505,0.00561662,1.998741594
NM,0.1,7,0.19890857,-3.1281426,0.005457178,1.998739158
NM,0.1,8,0.19910324,-3.1282125,0.004483834,1.998761386
NM,0.1,9,0.19881643,-3.1281526,0.005917847,1.998742203
NM,0.1,10,0.1989269,-3.1281657,0.005365536,1.998746466
