model,noise,iteration,lamb_value,beta_value,error_lamb,error_beta
OVP,0,1,0.19993079,3.1320803,0.000346079,3.73E-06
OVP,0,2,0.2000293,3.1320944,0.000146478,7.61E-07
OVP,0,3,0.20005259,-3.1320846,0.000262931,1.999997594
OVP,0,4,0.20004448,3.1320844,0.0002224,2.44E-06
OVP,0,5,0.20000437,3.1320841,2.18E-05,2.51E-06
OVP,0,6,0.20002046,3.1320827,0.000102296,2.97E-06
OVP,0,7,0.20003313,-3.1320715,0.000165626,1.999993483
OVP,0,8,0.20001364,-3.132085,6.82E-05,1.999997898
OVP,0,9,0.2000805,3.1321,0.00040248,2.59E-06
OVP,0,10,0.20000714,3.1320918,3.57E-05,7.61E-08
OVP,0.01,1,0.20003735,3.1320665,0.000186712,8.14E-06
OVP,0.01,2,0.19999443,3.1320639,2.79E-05,8.98E-06
OVP,0.01,3,0.19999556,-3.1320498,2.22E-05,1.999986632
OVP,0.01,4,0.20004582,3.1320586,0.000229105,1.07E-05
OVP,0.01,5,0.20010279,3.132075,0.000513941,5.40E-06
OVP,0.01,6,0.20007943,3.1320727,0.000397116,6.17E-06
OVP,0.01,7,0.20006908,-3.1320553,0.000345409,1.999988307
OVP,0.01,8,0.2000485,-3.1320357,0.000242516,1.999982065
OVP,0.01,9,0.20008051,3.1320572,0.000402555,1.11E-05
OVP,0.01,10,0.2000478,3.1320758,0.000239015,5.18E-06
OVP,0.05,1,0.19965108,3.1324122,0.001744628,0.000102231
OVP,0.05,2,0.19958566,-3.1323874,0.002071708,2.00009442
OVP,0.05,3,0.19955103,3.1323893,0.00224486,9.49E-05
OVP,0.05,4,0.19956863,3.1323817,0.002156869,9.25E-05
OVP,0.05,5,0.19955821,3.1323814,0.002208948,9.24E-05
OVP,0.05,6,0.19959931,-3.1324036,0.002003461,2.000099596
OVP,0.05,7,0.19957128,-3.132373,0.002143607,2.000089853
OVP,0.05,8,0.19959766,-3.132372,0.002011731,2.000089396
OVP,0.05,9,0.19964083,-3.1323886,0.001795888,2.000094724
OVP,0.05,10,0.19957761,3.1323822,0.002111942,9.26E-05
OVP,0.1,1,0.20038015,3.131873,0.001900718,7.00E-05
OVP,0.1,2,0.20034295,3.1318755,0.001714751,6.91E-05
OVP,0.1,3,0.20033823,-3.1318443,0.001691133,1.999920864
OVP,0.1,4,0.20037256,3.1318843,0.001862794,6.63E-05
OVP,0.1,5,0.20046051,3.1317616,0.002302527,0.000105504
OVP,0.1,6,0.20031005,3.1318896,0.001550242,6.46E-05
OVP,0.1,7,0.20034969,-3.1318662,0.001748428,1.999927867
OVP,0.1,8,0.20033745,-3.1318865,0.001687258,1.999934413
OVP,0.1,9,0.20036076,3.131886,0.001803786,0.0000658
OVP,0.1,10,0.20033444,3.1318712,0.001672208,0.0000705
