noise,iteration,k_value,m_value,km_value,error_k,error_m,error_km
0,1,1.000028491,1.000105262,0.999923237,0.002849102,0.01052618,0.00767627
0,2,0.99985522,0.999852359,1.000002861,0.014477968,0.014764071,0.000286145
0,3,0.999878049,0.999928653,0.999949392,0.01219511,0.007134676,0.005060795
0,4,1.000187397,1.00013113,1.000056259,0.0187397,0.013113022,0.005625941
0,5,0.999880552,0.999967873,0.999912676,0.011944771,0.00321269,0.008732361
0,6,0.999942422,0.999985754,0.999956667,0.005757809,0.001424551,0.004333319
0,7,0.999956727,1.000006676,0.999950052,0.004327297,0.000667572,0.004994836
0,8,1.000012755,1.000069737,0.999943022,0.001275539,0.006973743,0.005697807
0,9,0.999992371,1.000020862,0.99997151,0.000762939,0.002086163,0.002849043
0,10,0.999861717,0.999919295,0.999942417,0.013828278,0.008070469,0.005758273
0.01,1,1.001992702,1.000751972,1.001239798,0.199270248,0.07519722,0.123979799
0.01,2,1.002066374,1.000797987,1.001267375,0.206637383,0.079798698,0.126737549
0.01,3,1.002013445,1.000770211,1.001242277,0.20134449,0.077021122,0.124227687
0.01,4,1.002048373,1.000852227,1.001195127,0.204837322,0.085222721,0.119512749
0.01,5,1.002169371,1.000880599,1.001287638,0.216937065,0.088059902,0.128763774
0.01,6,1.000507236,0.99883461,1.001674577,0.050723553,0.116539001,0.167457708
0.01,7,1.000831842,0.999198675,1.001634477,0.083184242,0.080132484,0.163447701
0.01,8,1.00050807,0.998898149,1.001611697,0.050806999,0.110185146,0.161169731
0.01,9,0.998467326,0.998678863,0.999788183,0.153267384,0.132113695,0.021181672
0.01,10,1.000831842,0.999198675,1.001634477,0.083184242,0.080132484,0.163447701
0.05,1,1.010433078,1.00416398,1.006243101,1.043307781,0.416398048,0.624310118
0.05,2,1.01031971,1.004148602,1.006145612,1.031970978,0.414860249,0.614561159
0.05,3,1.010619164,1.004427195,1.006164677,1.061916351,0.44271946,0.616467669
0.05,4,0.989151716,0.997425497,0.991704864,1.084828377,0.257450342,0.82951362
0.05,5,1.011197925,1.005669713,1.005497045,1.119792461,0.566971302,0.549704493
0.05,6,0.988909483,0.997293055,0.991593672,1.109051704,0.270694494,0.840632757
0.05,7,0.989801943,0.996694267,0.993084817,1.01980567,0.33057332,0.691518324
0.05,8,0.988901615,0.997257411,0.991621224,1.109838486,0.274258852,0.837877587
0.05,9,1.01042223,1.004030347,1.006366225,1.042222977,0.403034687,0.63662248
0.05,10,0.988987863,0.997340739,0.991624853,1.101213694,0.265926123,0.837514741
0.1,1,0.988770306,1.015541434,0.973638566,1.122969389,1.554143429,2.636143369
0.1,2,0.988988161,1.015912414,0.973497467,1.101183891,1.59124136,2.650253324
0.1,3,1.029855609,1.062251091,0.96950299,2.985560894,6.2251091,3.049700992
0.1,4,1.029965401,1.062815666,0.969091286,2.99654007,6.28156662,3.090871404
0.1,5,1.030077577,1.062636018,0.969360684,3.007757664,6.26360178,3.06393164
0.1,6,0.98922199,1.015687704,0.97394306,1.077800989,1.568770409,2.605694041
0.1,7,0.98896277,1.015897274,0.97348698,1.103723049,1.589727402,2.651301977
0.1,8,1.030128717,1.062554836,0.969482875,3.012871742,6.255483627,3.051712509
0.1,9,1.030041814,1.062441826,0.969504201,3.004181385,6.244182587,3.049579867
0.1,10,0.999667108,1.020517111,0.979569179,0.033289194,2.051711082,2.043082134
