noise,iteration,k_value,m_value,km_value,error_k,error_m,error_km
0,1,0.999320388,0.999315321,1.00000507,0.067961216,0.068467855,0.000506987
0,2,0.999541461,0.999540985,1.000000477,0.045853853,0.045901537,0.0000477
0,3,0.999672413,0.999675989,0.999996423,0.032758713,0.032401085,0.000357744
0,4,0.999734879,0.999744594,0.999990282,0.026512146,0.02554059,0.000971804
0,5,0.999977112,0.999995291,0.99998182,0.002288818,0.000470877,0.00181795
0,6,1.000164866,1.000158906,1.00000596,0.016486645,0.015890598,0.000595952
0,7,0.999684155,0.999734461,0.99994968,0.031584501,0.026553869,0.005031968
0,8,0.999854803,0.999866247,0.999988554,0.014519691,0.013375282,0.001144562
0,9,1.000224352,1.000230312,0.999994041,0.022435188,0.023031235,0.000595909
0,10,1.000214219,1.000247002,0.999967226,0.021421909,0.024700165,0.003277446
0.01,1,1.004882216,1.005140901,0.999742639,0.488221645,0.514090061,0.025736109
0.01,2,1.002968788,1.003129959,0.999839332,0.296878815,0.312995911,0.016066807
0.01,3,1.004491091,1.004722118,0.999770058,0.449109077,0.472211838,0.022994179
0.01,4,1.004426837,1.0046736,0.999754385,0.442683697,0.46736002,0.024561532
0.01,5,1.004242182,1.004476905,0.999766323,0.424218178,0.447690487,0.023367694
0.01,6,1.004995465,1.005238056,0.999758673,0.499546528,0.523805618,0.024132682
0.01,7,1.004605412,1.004973054,0.999634178,0.460541248,0.497305393,0.03658222
0.01,8,1.004667044,1.004928708,0.999739619,0.466704369,0.492870808,0.026038105
0.01,9,1.003972888,1.004235744,0.999738252,0.397288799,0.423574448,0.026174779
0.01,10,1.00425446,1.004567266,0.999688617,0.425446033,0.456726551,0.031138301
0.05,1,1.000252724,1.000817776,0.99943541,0.025272369,0.081777573,0.056459032
0.05,2,1.000656724,1.001336575,0.999321057,0.065672398,0.133657455,0.067894312
0.05,3,1.000209451,1.00072968,0.99948015,0.020945072,0.072968006,0.051985002
0.05,4,1.001312613,1.001994014,0.999319956,0.131261349,0.199401379,0.068004428
0.05,5,0.999678493,1.000215054,0.999463554,0.032150745,0.021505356,0.053644565
0.05,6,0.99985522,1.000523686,0.999331884,0.014477968,0.052368641,0.066811621
0.05,7,1.000740409,1.001443863,0.99929756,0.07404089,0.144386292,0.070243979
0.05,8,0.999869108,1.000380754,0.999488548,0.01308918,0.038075447,0.051145153
0.05,9,0.999701917,1.000101328,0.99960063,0.029808283,0.01013279,0.039937026
0.05,10,0.999580622,1.000079632,0.99950103,0.041937828,0.007963181,0.049897035
0.1,1,0.967897236,0.972465992,0.995301886,3.210276365,2.753400803,0.469811352
0.1,2,0.96814543,0.972718537,0.995298633,3.185456991,2.728146315,0.470136693
0.1,3,0.968625128,0.973237574,0.99526072,3.137487173,2.67624259,0.473928047
0.1,4,0.968432963,0.972988486,0.995318009,3.156703711,2.701151371,0.468199106
0.1,5,0.968319714,0.972858369,0.995334721,3.168028593,2.714163065,0.466527855
0.1,6,0.968520522,0.973083496,0.995310809,3.147947788,2.691650391,0.468919059
0.1,7,0.968488634,0.973077655,0.995284013,3.151136637,2.692234516,0.471598663
0.1,8,0.968337893,0.973012209,0.995196036,3.166210651,2.698779106,0.480396382
0.1,9,0.968345523,0.972886503,0.995332467,3.165447712,2.711349726,0.466753301
0.1,10,0.968524158,0.973233223,0.995161422,3.1475842,2.676677704,0.48385781
