noise,iteration,k_value,m_value,km_value,error_k,error_m,error_km
0,1,0.391065657,0.391108364,0.999890806,60.89343429,60.88916361,0.010919411
0,2,1.149208307,1.149345875,0.999880308,14.92083073,14.93458748,0.011969201
0,3,0.246555075,0.246555254,0.999999275,75.3444925,75.34447461,7.25E-05
0,4,0.397048503,0.397099435,0.99987174,60.29514968,60.29005647,0.012826049
0,5,0.815936625,0.815985918,0.999939591,18.4063375,18.4014082,0.006040918
0,6,0.320078224,0.320097864,0.999938645,67.99217761,67.99021363,0.006135539
0,7,-0.67147404,-0.671491563,0.999973903,167.147404,167.1491563,0.002609678
0,8,-0.483691603,-0.483697742,0.999987308,148.3691603,148.3697742,0.001269239
0,9,0.685632765,0.685667157,0.999949842,31.43672347,31.43328428,0.005015827
0,10,0.407451689,0.407468408,0.999958968,59.25483108,59.25315917,0.004103165
0.01,1,0.771982431,0.772376001,0.999490443,22.80175686,22.76239991,0.050955683
0.01,2,-0.740501523,-0.740833879,0.999551376,174.0501523,174.0833879,0.044862352
0.01,3,0.835727155,0.836121321,0.999528579,16.42728448,16.38786793,0.047142144
0.01,4,0.337847888,0.338006884,0.999529609,66.21521115,66.19931161,0.047039098
0.01,5,0.657097518,0.657392323,0.999551555,34.29024816,34.2607677,0.044844541
0.01,6,-0.901179194,-0.901621103,0.999509873,190.1179194,190.1621103,0.049012699
0.01,7,-0.353359193,-0.353557259,0.99943979,135.3359193,135.3557259,0.056020978
0.01,8,-0.354659677,-0.354866117,0.999418258,135.4659677,135.4866117,0.058174246
0.01,9,-0.048137132,-0.04817342,0.99924672,104.8137132,104.817342,0.075327956
0.01,10,0.846452117,0.846840203,0.999541725,15.3547883,15.31597972,0.045827517
0.05,1,0.159747273,0.160178527,0.997307663,84.02527273,83.98214728,0.269233657
0.05,2,0.502139866,0.503488839,0.99732075,49.78601336,49.65111613,0.26792497
0.05,3,0.424347997,0.42548269,0.997333161,57.56520033,57.45173097,0.266683851
0.05,4,-1.489345789,-1.493289828,0.997358825,248.9345789,249.3289828,0.264117472
0.05,5,0.707680762,0.70959568,0.997301395,29.23192382,29.04043198,0.269860496
0.05,6,-1.475352049,-1.479296803,0.997333358,247.5352049,247.9296803,0.266664174
0.05,7,-0.377480865,-0.378520101,0.997254474,137.7480865,137.8520101,0.274552601
0.05,8,-0.685049415,-0.686964452,0.997212319,168.5049415,168.6964452,0.278768083
0.05,9,-0.883217871,-0.885634363,0.997271457,188.3217871,188.5634363,0.272854308
0.05,10,-0.171316519,-0.171772018,0.997348237,117.1316519,117.1772018,0.265176308
0.1,1,-1.732679963,-1.74979496,0.990218856,273.2679963,274.979496,0.978114425
0.1,2,-1.256192565,-1.268553615,0.990255792,225.6192565,226.8553615,0.974420751
0.1,3,0.366504461,0.370151609,0.990146879,63.34955394,62.98483908,0.985312104
0.1,4,0.159318671,0.160893589,0.990211427,84.06813294,83.91064107,0.97885729
0.1,5,0.773179948,0.780920029,0.990088511,22.68200517,21.90799713,0.991148911
0.1,6,-0.343206912,-0.346695989,0.989936206,134.3206912,134.6695989,1.006379421
0.1,7,-0.883658171,-0.892348826,0.990260922,188.3658171,189.2348826,0.973907846
0.1,8,0.998463213,1.008508921,0.99003905,0.153678656,0.850892067,0.996095029
0.1,9,0.403031468,0.406991333,0.990270396,59.69685316,59.30086672,0.97296037
0.1,10,-1.39708674,-1.41085279,0.990242745,239.708674,241.085279,0.975725493
